id_lo,id_mid,id_hi,n
448,1581,1629,13
448,1692,1766,13
449,715,1762,110
449,843,877,107
449,1280,1650,105
449,1372,1653,17
450,716,919,105
451,673,1117,15
451,950,1451,13
452,551,866,115
452,897,1283,16
453,657,1547,119
453,1083,1781,14
454,482,1040,15
454,954,1553,103
455,1237,1787,17
455,1251,1264,17
456,697,1617,112
457,1203,1270,110
458,972,1109,109
458,1291,1712,110
459,689,1034,112
459,1241,1617,18
460,469,952,111
460,1004,1441,111
460,1082,1774,15
460,1393,1838,11
462,526,1700,104
462,599,723,105
463,636,645,14
463,676,1575,16
463,1730,1741,13
464,467,1739,106
465,668,1765,13
465,1063,1347,98
465,1126,1738,111
466,760,1590,108
466,908,1767,13
467,659,1240,16
467,709,1318,109
467,904,1044,109
467,1093,1499,14
468,672,964,13
469,857,1566,13
469,1373,1489,17
470,1006,1314,18
473,830,1097,114
474,1686,1691,12
475,740,1374,112
477,486,1751,113
478,864,972,15
478,924,1065,16
478,1148,1267,113
478,1179,1841,112
479,1290,1657,16
480,748,1349,105
480,911,1426,18
480,1006,1314,17
480,1038,1370,110
480,1719,1765,103
482,609,1389,11
482,641,1666,109
482,1107,1646,15
482,1182,1750,17
483,499,1422,15
483,1453,1568,14
484,1662,1802,17
486,492,591,110
486,498,1291,19
487,816,840,106
487,946,1436,15
487,1072,1609,110
487,1216,1755,15
488,536,610,112
488,799,1724,102
489,539,1549,115
489,833,1280,14
489,975,1273,109
490,688,1227,113
491,538,817,108
492,829,971,117
492,994,1754,15
492,1270,1551,101
493,1009,1486,16
494,1731,1830,109
495,699,709,107
495,752,1774,17
495,764,1449,106
496,1073,1767,110
496,1311,1675,15
499,805,940,17
499,818,1237,112
500,1399,1700,105
500,1457,1836,110
501,1104,1697,107
503,1658,1675,19
504,1102,1604,15
506,620,815,13
506,970,1525,15
506,1137,1456,110
507,956,1760,119
507,1688,1715,109
508,960,1240,16
508,1156,1625,103
509,641,1135,111
509,815,1384,106
509,994,1503,17
509,1014,1297,15
509,1321,1652,108
510,1221,1780,114
511,970,1006,106
512,595,814,16
512,690,1486,14
512,1452,1685,110
513,574,1554,105
513,683,906,110
513,693,1827,114
513,941,1475,106
513,1000,1149,104
513,1155,1156,16
513,1293,1550,107
514,1001,1566,114
515,714,728,15
515,1078,1332,20
516,745,962,109
516,1205,1683,15
517,774,1545,105
518,538,1187,18
518,860,1024,112
519,557,739,14
519,897,1521,18
519,1188,1248,108
519,1271,1704,14
522,808,1491,105
524,1360,1685,98
525,639,694,14
526,1399,1731,115
526,1591,1844,17
527,694,1837,109
528,1031,1375,13
529,534,1477,110
529,878,1740,96
529,1177,1508,107
530,1457,1735,105
531,647,1548,17
532,624,771,18
532,905,1658,108
533,563,1298,14
534,539,958,115
535,1108,1293,17
536,822,1483,17
536,839,1321,114
536,1003,1542,12
538,541,1560,14
538,1163,1223,17
539,920,1014,105
542,720,1524,15
542,1827,1831,117
543,717,1736,15
543,966,1113,12
545,683,1447,111
545,775,1606,106
545,1021,1179,13
546,689,1731,16
546,903,1767,109
546,1034,1738,114
547,1000,1442,13
549,788,1515,105
549,1057,1573,107
551,626,1000,114
553,1303,1730,14
554,752,942,117
556,983,1820,16
556,1060,1390,108
557,735,1002,111
557,881,1669,16
558,563,1796,17
558,772,1253,112
559,815,1173,113
559,1617,1779,117
560,947,1049,18
561,867,1262,13
562,647,840,11
562,901,1346,15
563,914,1031,113
563,1296,1476,18
563,1567,1714,113
565,587,1059,18
565,909,1735,111
565,1624,1730,110
566,1524,1589,102
567,591,966,106
567,665,710,100
568,795,1738,105
569,1293,1632,109
570,786,876,106
572,1617,1853,16
574,666,911,112
574,1189,1256,108
576,1034,1840,18
577,1058,1487,18
577,1281,1817,107
578,618,1167,14
578,706,1381,113
578,860,1661,113
578,1054,1303,109
580,790,1171,16
581,619,648,104
581,670,1073,106
581,1167,1406,109
582,642,729,111
583,640,663,110
583,756,947,18
583,1092,1272,15
584,732,1574,112
584,1160,1639,118
584,1457,1783,109
585,608,976,106
585,649,1019,15
585,954,1482,114
585,1091,1793,12
585,1460,1648,114
586,906,979,14
586,1154,1699,115
587,864,1408,11
