,triplet_id,correct_avg,correct_id,delta,Accuracy Avg. Model,id_lo,id_mid,id_hi,prop_max,n_per_triplet,is_improvement,prop_max_rounded
162,163,0.2857142857142857,0.2857142857142857,0.0,2,1160,1381,1453,0.4615384615384615,13,1,0.5
163,164,0.5,0.6,0.09999999999999998,4,1161,1754,1814,0.5,16,1,0.5
164,165,0.63,0.67,0.040000000000000036,6,1162,1196,1449,0.6448598130841121,107,1,0.6
165,166,0.25,0.625,0.375,2,116,460,587,0.6,15,1,0.6
166,167,0.5555555555555556,0.5555555555555556,0.0,5,1165,1337,1729,0.6470588235294118,17,1,0.6
167,168,0.7766990291262136,0.7961165048543689,0.01941747572815533,7,1165,1835,1837,0.7964601769911505,113,1,0.8
168,169,0.2222222222222222,0.5555555555555556,0.33333333333333337,2,1,1661,1753,0.5882352941176471,17,1,0.6
169,170,0.2828282828282828,0.6060606060606061,0.32323232323232326,2,116,825,1192,0.3761467889908257,109,1,0.4
170,171,0.9405940594059405,0.9207920792079208,-0.01980198019801971,9,1171,1476,1719,0.9444444444444444,108,0,0.9
171,172,0.16666666666666666,1.0,0.8333333333333334,1,117,172,734,0.6,15,1,0.6
172,173,0.8924731182795699,0.8709677419354839,-0.021505376344086002,8,117,463,1435,0.8990825688073395,109,0,0.9
173,174,1.0,1.0,0.0,9,117,587,685,0.8125,16,1,0.8
174,175,0.6526315789473685,0.7473684210526316,0.09473684210526312,6,1178,1600,1610,0.6126126126126126,111,1,0.6
175,176,0.8888888888888888,0.6666666666666666,-0.2222222222222222,8,11,817,1007,0.8333333333333334,18,0,0.8
176,177,0.8541666666666666,0.8541666666666666,0.0,8,118,406,691,0.8727272727272727,110,1,0.9
177,178,0.4019607843137255,0.5882352941176471,0.18627450980392157,4,1184,1301,1386,0.4090909090909091,110,1,0.4
178,179,0.8,0.8,0.0,7,1184,1655,1817,0.6,20,1,0.6
179,180,0.8315789473684211,0.8105263157894737,-0.021052631578947434,8,118,583,1171,0.8198198198198198,111,0,0.8
180,181,0.7777777777777778,0.7777777777777778,0.0,7,118,617,1722,0.75,16,1,0.8
181,182,0.5048543689320388,0.6116504854368932,0.10679611650485432,5,1189,1410,1834,0.543859649122807,114,1,0.5
182,183,0.3541666666666667,0.6458333333333334,0.2916666666666667,3,1192,1311,1486,0.5357142857142857,112,1,0.5
183,184,0.90625,0.9375,0.03125,9,1193,1454,1711,0.9056603773584906,106,1,0.9
184,185,0.29896907216494845,0.4639175257731959,0.16494845360824745,2,119,357,871,0.411214953271028,107,1,0.4
185,186,0.5,0.5,0.0,4,119,358,626,0.5714285714285714,14,1,0.6
186,187,0.8910891089108911,0.8910891089108911,0.0,8,1198,1501,1841,0.8857142857142857,105,1,0.9
187,188,0.07547169811320754,0.8962264150943396,0.8207547169811321,0,119,856,1673,0.9026548672566372,113,1,0.9
188,189,0.6,0.6,0.0,5,1201,1284,1639,0.6842105263157895,19,1,0.7
189,190,0.5222222222222223,0.37777777777777777,-0.1444444444444445,5,1201,1616,1817,0.5196078431372549,102,0,0.5
190,191,0.875,0.875,0.0,8,120,1528,1818,0.9411764705882352,17,1,0.9
191,192,0.9320388349514563,0.9320388349514563,0.0,9,1205,1565,1601,0.9375,112,1,0.9
192,193,0.48936170212765956,0.574468085106383,0.08510638297872347,4,121,165,775,0.4954954954954955,111,1,0.5
193,194,0.14285714285714285,0.8571428571428571,0.7142857142857142,1,121,208,835,0.3684210526315789,19,1,0.4
194,195,0.8888888888888888,0.8888888888888888,0.0,8,12,1402,1723,0.7333333333333333,15,1,0.7
195,196,0.40425531914893614,0.5106382978723404,0.10638297872340424,4,12,1465,1484,0.3962264150943396,106,1,0.4
196,197,0.5777777777777777,0.6555555555555556,0.07777777777777783,5,121,499,595,0.5818181818181818,110,1,0.6
197,198,0.7592592592592593,0.7777777777777778,0.01851851851851849,7,12,1799,1805,0.7699115044247787,113,1,0.8
198,199,0.71,0.7,-0.010000000000000009,7,1218,1350,1477,0.6782608695652174,115,0,0.7
199,200,0.8,0.8,0.0,7,1224,1455,1460,0.7894736842105263,19,1,0.8
200,201,0.4444444444444444,0.5555555555555556,0.11111111111111116,4,1226,1504,1771,0.65,20,1,0.6
201,202,0.6530612244897959,0.826530612244898,0.17346938775510212,6,122,657,1145,0.6571428571428571,105,1,0.7
202,203,0.7755102040816326,0.8061224489795918,0.030612244897959218,7,1228,1536,1594,0.7747747747747747,111,1,0.8
203,204,0.75,0.75,0.0,7,1228,1655,1661,0.6666666666666666,12,1,0.7
204,205,0.7628865979381443,0.7628865979381443,0.0,7,1229,1288,1722,0.7614678899082569,109,1,0.8
205,206,0.3333333333333333,0.5555555555555556,0.22222222222222227,3,1229,1292,1547,0.4375,16,1,0.4
206,207,1.0,1.0,0.0,9,1231,1527,1797,0.5833333333333334,12,1,0.6
207,208,0.73,0.78,0.050000000000000044,7,123,139,566,0.7345132743362832,113,1,0.7
208,209,0.8241758241758241,0.8241758241758241,0.0,8,1232,1491,1838,0.8317757009345794,107,1,0.8
209,210,0.6170212765957447,0.6702127659574468,0.05319148936170215,6,1233,1576,1830,0.5794392523364486,107,1,0.6
210,211,0.8446601941747572,0.8446601941747572,0.0,8,1234,1727,1772,0.8521739130434782,115,1,0.9
